Database Name: Student Records
Authors: P1-08

Table Name: StudentRecords-1000
ID	Name	Programme	Mark
2500346	Isaac Teo	Digital Supply Chain	43.69
2500347	Zi Hao	Digital Supply Chain	13.37
2500348	Wei Ning	CS	8.98
2500349	Felix Tan	Digital Supply Chain	3.40
2500350	Daniel Ong	Digital Supply Chain	22.02
2500351	Hui Min	CS	4.00
2500352	Marcus Yeo	Computer Science	80.70
2500353	Chee Seng	Software Engineering	24.05
2500354	Zi Hao	Computer Science	55.47
2500355	Hui Min	CS	90.57
2500356	Darren Tan	Software Engineering	23.88
2500357	Amirah Binte Rahman	Digital Supply Chain	39.21
2500358	Felix Tan	Computer Science	61.43
2500359	Harith Zulkifli	Software Engineering	15.01
2500360	Zhi Yuan	CS	66.10
2500361	Chee Seng	CS	77.68
2500362	Isaac Teo	Computer Science	64.20
2500363	Joshua Chen	Computer Science	45.54
2500364	Alicia Tan	CS	6.62
2500365	Wei Ning	Digital Supply Chain	84.84
2500366	Darren Tan	Digital Supply Chain	26.05
2500367	Felix Tan	Software Engineering	65.87
2500368	Amirah Binte Rahman	CS	96.22
2500369	Terence Goh	Software Engineering	23.72
2500370	Chee Seng	Computer Science	4.05
2500371	Chee Seng	Digital Supply Chain	52.67
2500372	Yi Xuan	Software Engineering	27.46
2500373	Daniel Ong	CS	76.97
2500374	Joshua Chen	Software Engineering	84.79
2500375	Hui Min	Software Engineering	7.90
2500376	Felix Tan	Computer Science	80.29
2500377	Felix Tan	Digital Supply Chain	60.36
2500378	Xin Rui	CS	64.27
2500379	Syafiq Hassan	CS	72.32
2500380	Rachel Goh	Computer Science	11.76
2500381	Felix Tan	Digital Supply Chain	14.85
2500382	Amirah Binte Rahman	Computer Science	14.96
2500383	Evelyn Soh	Digital Supply Chain	34.21
2500384	Joshua Chen	Computer Science	73.18
2500385	Chee Seng	CS	68.39
2500386	Wei Ning	CS	95.52
2500387	Harith Zulkifli	Digital Supply Chain	53.03
2500388	Megan Toh	Software Engineering	42.72
2500389	Daniel Ong	CS	93.64
2500390	Evelyn Soh	Software Engineering	72.46
2500391	Nurul Aisyah	Digital Supply Chain	59.98
2500392	Shaun Lee	Digital Supply Chain	1.88
2500393	Nicole Chua	Software Engineering	62.90
2500394	Alicia Tan	Computer Science	21.13
2500395	Evelyn Soh	Computer Science	2.27
2500396	Xin Rui	Computer Science	77.62
2500397	Terence Goh	Computer Science	15.83
2500398	Felix Tan	Digital Supply Chain	20.48
2500399	Syafiq Hassan	CS	61.59
2500400	Joshua Chen	CS	78.82
2500401	Syafiq Hassan	Software Engineering	68.47
2500402	Joshua Chen	Software Engineering	91.30
2500403	Clara Lim	Digital Supply Chain	17.03
2500404	Megan Toh	Digital Supply Chain	2.03
2500405	Xin Rui	Software Engineering	90.51
2500406	Geraldine Ng	CS	47.47
2500407	Zi Hao	Computer Science	53.01
2500408	Amirah Binte Rahman	Software Engineering	96.53
2500409	Xin Rui	Computer Science	74.05
2500410	Geraldine Ng	Computer Science	1.77
2500411	Alicia Tan	CS	26.18
2500412	Darren Tan	Digital Supply Chain	77.30
2500413	Marcus Yeo	Computer Science	66.26
2500414	Benjamin Koh	Software Engineering	65.52
2500415	Alicia Tan	Digital Supply Chain	60.20
2500416	Marcus Yeo	Software Engineering	84.36
2500417	Isaac Teo	Software Engineering	66.40
2500418	Joshua Chen	Software Engineering	28.38
2500419	Zhi Yuan	Digital Supply Chain	8.37
2500420	Joshua Chen	Software Engineering	80.54
2500421	Geraldine Ng	Digital Supply Chain	87.98
2500422	Yi Xuan	Software Engineering	1.06
2500423	Joshua Chen	Digital Supply Chain	38.19
2500424	Evelyn Soh	Software Engineering	78.57
2500425	Yi Xuan	CS	29.36
2500426	Joshua Chen	Software Engineering	42.33
2500427	Zhi Yuan	Digital Supply Chain	92.50
2500428	Megan Toh	Digital Supply Chain	52.64
2500429	Wei Ning	CS	23.38
2500430	Zhi Yuan	Computer Science	50.92
2500431	Benjamin Koh	Software Engineering	2.74
2500432	Alicia Tan	Digital Supply Chain	39.38
2500433	Zi Hao	CS	91.37
2500434	Clara Lim	CS	95.57
2500435	Zi Hao	Digital Supply Chain	98.47
2500436	Benjamin Koh	Digital Supply Chain	22.28
2500437	Felix Tan	Computer Science	28.54
2500438	Evelyn Soh	CS	60.36
2500439	Marcus Yeo	CS	96.33
2500440	Alicia Tan	Digital Supply Chain	77.38
2500441	Wei Ning	Digital Supply Chain	87.74
2500442	Yi Xuan	CS	15.56
2500443	Zhi Yuan	Computer Science	52.49
2500444	Nicole Chua	CS	41.98
2500445	Benjamin Koh	Digital Supply Chain	15.00
2500446	Nurul Aisyah	Software Engineering	75.94
2500447	Marcus Yeo	Software Engineering	76.73
2500448	Xiao Ling	Computer Science	66.14
2500449	Shaun Lee	CS	14.39
2500450	Evelyn Soh	Digital Supply Chain	20.32
2500451	Clara Lim	CS	90.91
2500452	Jia Wei	Digital Supply Chain	56.67
2500453	Shaun Lee	CS	44.77
2500454	Joshua Chen	Digital Supply Chain	94.84
2500455	Nurul Aisyah	CS	60.12
2500456	Xiao Ling	Software Engineering	80.63
2500457	Daniel Ong	Software Engineering	46.61
2500458	Zhi Yuan	Software Engineering	21.25
2500459	Benjamin Koh	Software Engineering	57.47
2500460	Zi Hao	Computer Science	86.31
2500461	Clara Lim	Computer Science	88.66
2500462	Darren Tan	CS	18.87
2500463	Megan Toh	Software Engineering	23.04
2500464	Megan Toh	CS	65.87
2500465	Darren Tan	Digital Supply Chain	71.45
2500466	Megan Toh	Software Engineering	11.97
2500467	Nicole Chua	CS	86.73
2500468	Shaun Lee	Computer Science	22.86
2500469	Benjamin Koh	Computer Science	63.71
2500470	Zhi Yuan	Digital Supply Chain	20.39
2500471	Isaac Teo	Software Engineering	18.66
2500472	Chee Seng	Digital Supply Chain	37.33
2500473	Benjamin Koh	Computer Science	43.45
2500474	Chee Seng	CS	58.26
2500475	Xin Rui	Digital Supply Chain	7.22
2500476	Chee Seng	Software Engineering	43.52
2500477	Megan Toh	CS	63.36
2500478	Sarah Lim	Software Engineering	35.71
2500479	Syafiq Hassan	CS	50.44
2500480	Darren Tan	Computer Science	33.76
2500481	Felix Tan	CS	3.86
2500482	Geraldine Ng	CS	86.10
2500483	Daniel Ong	Digital Supply Chain	95.97
2500484	Rachel Goh	Software Engineering	58.27
2500485	Syafiq Hassan	Computer Science	6.33
2500486	Harith Zulkifli	Software Engineering	87.78
2500487	Felix Tan	CS	30.75
2500488	Darren Tan	Digital Supply Chain	60.06
2500489	Nicole Chua	Digital Supply Chain	30.26
2500490	Syafiq Hassan	CS	74.93
2500491	Yi Xuan	Software Engineering	7.92
2500492	Wei Ning	Digital Supply Chain	44.09
2500493	Amirah Binte Rahman	Computer Science	22.99
2500494	Terence Goh	CS	75.14
2500495	Isaac Teo	Computer Science	81.50
2500496	Evelyn Soh	Software Engineering	21.79
2500497	Yi Xuan	CS	50.64
2500498	Isaac Teo	CS	87.95
2500499	Jia Wei	Digital Supply Chain	57.41
2500500	Nicole Chua	Digital Supply Chain	42.16
2500501	Amirah Binte Rahman	Digital Supply Chain	11.55
2500502	Benjamin Koh	Computer Science	91.54
2500503	Amirah Binte Rahman	Software Engineering	69.15
2500504	Benjamin Koh	Digital Supply Chain	26.23
2500505	Jia Wei	Computer Science	35.93
2500506	Clara Lim	Software Engineering	75.33
2500507	Alicia Tan	Computer Science	74.75
2500508	Wei Ning	Digital Supply Chain	34.82
2500509	Chee Seng	Software Engineering	38.71
2500510	Yi Xuan	CS	47.51
2500511	Evelyn Soh	Digital Supply Chain	28.05
2500512	Rachel Goh	Computer Science	54.91
2500513	Evelyn Soh	Software Engineering	12.60
2500514	Megan Toh	Computer Science	27.18
2500515	Joshua Chen	Digital Supply Chain	48.81
2500516	Evelyn Soh	Computer Science	95.35
2500517	Zhi Yuan	Computer Science	44.40
2500518	Megan Toh	Digital Supply Chain	33.35
2500519	Zhi Yuan	Computer Science	58.44
2500520	Rachel Goh	Software Engineering	55.48
2500521	Isaac Teo	CS	81.93
2500522	Daniel Ong	Software Engineering	88.06
2500523	Syafiq Hassan	Software Engineering	47.42
2500524	Evelyn Soh	Software Engineering	92.58
2500525	Xin Rui	Computer Science	96.00
2500526	Xiao Ling	Software Engineering	42.78
2500527	Marcus Yeo	Digital Supply Chain	66.17
2500528	Yi Xuan	Computer Science	18.60
2500529	Xiao Ling	Software Engineering	50.37
2500530	Chee Seng	CS	43.60
2500531	Zhi Yuan	Computer Science	46.53
2500532	Jia Wei	Software Engineering	67.01
2500533	Xin Rui	CS	91.32
2500534	Nicole Chua	Computer Science	86.08
2500535	Nurul Aisyah	Digital Supply Chain	89.54
2500536	Zhi Yuan	Computer Science	51.40
2500537	Xin Rui	CS	24.22
2500538	Benjamin Koh	CS	86.65
2500539	Wei Ning	CS	38.67
2500540	Hui Min	Computer Science	48.42
2500541	Marcus Yeo	Digital Supply Chain	24.16
2500542	Hui Min	Software Engineering	39.17
2500543	Zhi Yuan	Computer Science	30.08
2500544	Marcus Yeo	Software Engineering	50.21
2500545	Marcus Yeo	CS	47.29
2500546	Alicia Tan	CS	49.60
2500547	Nicole Chua	Software Engineering	93.89
2500548	Daniel Ong	Software Engineering	51.53
2500549	Xin Rui	Digital Supply Chain	22.56
2500550	Zhi Yuan	Computer Science	91.18
2500551	Zhi Yuan	Software Engineering	28.48
2500552	Zi Hao	Computer Science	22.58
2500553	Amirah Binte Rahman	Software Engineering	95.49
2500554	Alicia Tan	CS	28.58
2500555	Nicole Chua	CS	9.07
2500556	Sarah Lim	Digital Supply Chain	98.45
2500557	Benjamin Koh	CS	89.61
2500558	Nurul Aisyah	Digital Supply Chain	2.15
2500559	Xiao Ling	Software Engineering	67.71
2500560	Nicole Chua	Computer Science	28.68
2500561	Nurul Aisyah	CS	25.16
2500562	Terence Goh	Digital Supply Chain	58.25
2500563	Benjamin Koh	Software Engineering	82.64
2500564	Xin Rui	Software Engineering	10.41
2500565	Harith Zulkifli	CS	67.26
2500566	Zi Hao	Digital Supply Chain	20.36
2500567	Marcus Yeo	Computer Science	56.45
2500568	Chee Seng	Computer Science	42.36
2500569	Nurul Aisyah	Computer Science	80.89
2500570	Marcus Yeo	Software Engineering	46.01
2500571	Isaac Teo	Software Engineering	92.11
2500572	Jia Wei	Software Engineering	67.79
2500573	Evelyn Soh	Digital Supply Chain	30.80
2500574	Benjamin Koh	Computer Science	68.08
2500575	Syafiq Hassan	CS	72.76
2500576	Chee Seng	Software Engineering	56.40
2500577	Daniel Ong	Digital Supply Chain	9.41
2500578	Joshua Chen	Digital Supply Chain	26.29
2500579	Chee Seng	Computer Science	76.35
2500580	Benjamin Koh	CS	25.37
2500581	Yi Xuan	Software Engineering	4.60
2500582	Rachel Goh	Digital Supply Chain	65.99
2500583	Xin Rui	Software Engineering	87.30
2500584	Felix Tan	Computer Science	96.87
2500585	Xiao Ling	Computer Science	93.17
2500586	Marcus Yeo	Digital Supply Chain	62.07
2500587	Syafiq Hassan	CS	26.23
2500588	Nurul Aisyah	Digital Supply Chain	80.66
2500589	Hui Min	CS	43.17
2500590	Nicole Chua	Digital Supply Chain	25.35
2500591	Yi Xuan	Computer Science	35.26
2500592	Terence Goh	Computer Science	95.88
2500593	Shaun Lee	CS	98.00
2500594	Wei Ning	Software Engineering	53.93
2500595	Nurul Aisyah	Computer Science	67.84
2500596	Amirah Binte Rahman	Digital Supply Chain	72.63
2500597	Wei Ning	Software Engineering	6.23
2500598	Benjamin Koh	CS	88.35
2500599	Harith Zulkifli	Digital Supply Chain	54.01
2500600	Syafiq Hassan	CS	78.67
2500601	Sarah Lim	CS	62.75
2500602	Alicia Tan	Software Engineering	8.12
2500603	Alicia Tan	Computer Science	97.94
2500604	Nurul Aisyah	Software Engineering	19.95
2500605	Harith Zulkifli	Software Engineering	93.42
2500606	Xin Rui	CS	25.26
2500607	Evelyn Soh	Digital Supply Chain	46.73
2500608	Clara Lim	Digital Supply Chain	34.75
2500609	Hui Min	Computer Science	47.73
2500610	Megan Toh	Digital Supply Chain	18.44
2500611	Zi Hao	Software Engineering	55.23
2500612	Hui Min	Computer Science	57.39
2500613	Amirah Binte Rahman	Computer Science	60.05
2500614	Jia Wei	CS	27.63
2500615	Isaac Teo	Software Engineering	79.86
